ekegusii,english,headword,contributor,date,source,url
enibo,wealth,enibo,robertny,"July 18, 2019",lughayangu,https://lughayangu.com/ekegusii/enibo
enibo,my wealth,enibo,robertny,"July 18, 2019",lughayangu,https://lughayangu.com/ekegusii/enibo
enibo,#wealth,enibo,robertny,"July 18, 2019",lughayangu,https://lughayangu.com/ekegusii/enibo
enibo,"July 18, 2019",enibo,robertny,"July 18, 2019",lughayangu,https://lughayangu.com/ekegusii/enibo
enibo,money,enibo,robertny,"July 18, 2019",lughayangu,https://lughayangu.com/ekegusii/enibo
Enkendu,Cold,Enkendu,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/enkendu
Enkendu,#Cold,Enkendu,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/enkendu
Enkendu,#Today,Enkendu,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/enkendu
Enkene,tapeworm,Enkene,Purity,"October 24, 2022",lughayangu,https://lughayangu.com/ekegusii/enkene
Enkoro,heart,Enkoro,Purity,"August 30, 2022",lughayangu,https://lughayangu.com/ekegusii/enkoro
Ensogono,cockroach,Ensogono,Purity,"August 30, 2022",lughayangu,https://lughayangu.com/ekegusii/ensogono
Ensu,Fish,Ensu,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/ensu
Enyamoreo,HIV/AIDs,Enyamoreo,Purity,"October 24, 2022",lughayangu,https://lughayangu.com/ekegusii/enyamoreo
Enyangi,Wedding,Enyangi,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/enyangi
Enyangi,#wedding,Enyangi,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/enyangi
Enyangi,The Wedding.,Enyangi,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/enyangi
Enyigo,kidney,Enyigo,Purity,"August 30, 2022",lughayangu,https://lughayangu.com/ekegusii/enyigo
Enyimbo,fighting stick,Enyimbo,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/enyimbo
Enyomba,House.,Enyomba,wakaliwao,"August 12, 2019",lughayangu,https://lughayangu.com/ekegusii/enyomba
Enyomba,#House,Enyomba,wakaliwao,"August 12, 2019",lughayangu,https://lughayangu.com/ekegusii/enyomba
Enyomba,#Door,Enyomba,wakaliwao,"August 12, 2019",lughayangu,https://lughayangu.com/ekegusii/enyomba
Enyonga,buttock,Enyonga,Purity,"August 30, 2022",lughayangu,https://lughayangu.com/ekegusii/enyonga
Enyonga,buttocks,Enyonga,Purity,"August 30, 2022",lughayangu,https://lughayangu.com/ekegusii/enyonga
Enyonga,"April 30, 2025",Enyonga,Purity,"August 30, 2022",lughayangu,https://lughayangu.com/ekegusii/enyonga
Enywomo,Marriage,Enywomo,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/enywomo
Epani,cooking pan,Epani,Purity,"September 1, 2022",lughayangu,https://lughayangu.com/ekegusii/epani
Erio,then,Erio,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/erio
Eriogi,voice,Eriogi,Purity,"September 1, 2022",lughayangu,https://lughayangu.com/ekegusii/eriogi
Esabato,Saturday,Esabato,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/esabato
Esagati,january,Esagati,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/esagati
Esasati,papyrus reeds,Esasati,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/esasati
Esegi,war,Esegi,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/esegi
Esegi,Fight,Esegi,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/esegi
Esegi,By Shazzy,Esegi,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/esegi
Esegi,Shazzy,Esegi,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/esegi
Esegi,"June 20, 2023",Esegi,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/esegi
Esimi,A cellphone,Esimi,robertny,"October 10, 2019",lughayangu,https://lughayangu.com/ekegusii/esimi
Esimi,#Phone,Esimi,robertny,"October 10, 2019",lughayangu,https://lughayangu.com/ekegusii/esimi
Esimi,#cellphone,Esimi,robertny,"October 10, 2019",lughayangu,https://lughayangu.com/ekegusii/esimi
Esimi,"October 10, 2019",Esimi,robertny,"October 10, 2019",lughayangu,https://lughayangu.com/ekegusii/esimi
Esimi,phone,Esimi,robertny,"October 10, 2019",lughayangu,https://lughayangu.com/ekegusii/esimi
Esimi,By Shazzy,Esimi,robertny,"October 10, 2019",lughayangu,https://lughayangu.com/ekegusii/esimi
Esimi,Shazzy,Esimi,robertny,"October 10, 2019",lughayangu,https://lughayangu.com/ekegusii/esimi
Esimi,"June 20, 2023",Esimi,robertny,"October 10, 2019",lughayangu,https://lughayangu.com/ekegusii/esimi
Esimi,phone of mine,Esimi,robertny,"October 10, 2019",lughayangu,https://lughayangu.com/ekegusii/esimi
Esimi,"March 3, 2024",Esimi,robertny,"October 10, 2019",lughayangu,https://lughayangu.com/ekegusii/esimi
Etangawisi,lemon grass,Etangawisi,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/etangawisi
Etoigo,floods,Etoigo,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/etoigo
Etuki,Hair,Etuki,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/etuki
eumbu,Mosquito.,eumbu,Moraa,"September 4, 2019",lughayangu,https://lughayangu.com/ekegusii/eumbu
eumbu,#Bit,eumbu,Moraa,"September 4, 2019",lughayangu,https://lughayangu.com/ekegusii/eumbu
eumbu,By Moraa,eumbu,Moraa,"September 4, 2019",lughayangu,https://lughayangu.com/ekegusii/eumbu
eumbu,"September 4, 2019",eumbu,Moraa,"September 4, 2019",lughayangu,https://lughayangu.com/ekegusii/eumbu
eumbu,mosquito,eumbu,Moraa,"September 4, 2019",lughayangu,https://lughayangu.com/ekegusii/eumbu
Gacha,Save,Gacha,James Abere,"April 13, 2026",lughayangu,https://lughayangu.com/ekegusii/gacha
Gesicha,yellow,Gesicha,Purity,"September 1, 2022",lughayangu,https://lughayangu.com/ekegusii/gesicha
Goika,until,Goika,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/goika
Goika,Arrive,Goika,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/goika
Goika,#tell me,Goika,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/goika
Goika,#Arrive,Goika,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/goika
Gotandora,Tear,Gotandora,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/gotandora
Igoro,(above the clouds),Igoro,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/igoro
Igoro,"April 23, 2024",Igoro,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/igoro
Ikaransa,Have a seat,Ikaransa,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/ikaransa
Ikaransa,#seat,Ikaransa,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/ikaransa
Ikaransa,#over,Ikaransa,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/ikaransa
Ikaransa,#There,Ikaransa,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/ikaransa
Ikomi,ten,Ikomi,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/ikomi
Inse yaye,beneath,Inse yaye,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/inse-yaye
Irongo,ceiling,Irongo,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/irongo
Isano,five,Isano,Purity,"September 7, 2022",lughayangu,https://lughayangu.com/ekegusii/isano
Isano isato,eight,Isano isato,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/isano-isato
Isano na ibere,seven,Isano na ibere,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/isano-na-ibere
Isano nemo,six,Isano nemo,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/isano-nemo
Kamati yane,sister-in-law,Kamati yane,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/kamati-yane
Kansa,cancer,Kansa,Purity,"October 24, 2022",lughayangu,https://lughayangu.com/ekegusii/kansa
Kenagwa,yellow beans,Kenagwa,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/kenagwa
Keria,that,Keria,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/keria
Kisii,I speak kisii,Kisii,Moraa Daisy,"July 22, 2024",lughayangu,https://lughayangu.com/ekegusii/kisii
Kisii,By Moraa Daisy,Kisii,Moraa Daisy,"July 22, 2024",lughayangu,https://lughayangu.com/ekegusii/kisii
Kisii,"July 22, 2024",Kisii,Moraa Daisy,"July 22, 2024",lughayangu,https://lughayangu.com/ekegusii/kisii
Kobua,than,Kobua,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/kobua
Komorabe,whether,Komorabe,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/komorabe
Korema,Dig,Korema,Zedekiah,"September 3, 2022",lughayangu,https://lughayangu.com/ekegusii/korema
Korema,"September 3, 2022",Korema,Zedekiah,"September 3, 2022",lughayangu,https://lughayangu.com/ekegusii/korema
Korende,but,Korende,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/korende
Koroka,vomiting,Koroka,Purity,"October 24, 2022",lughayangu,https://lughayangu.com/ekegusii/koroka
Korwa,from,Korwa,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/korwa
Kuomana,Argue,Kuomana,Bironga Nyauma,"March 9, 2020",lughayangu,https://lughayangu.com/ekegusii/kuomana
Kuomana,#I do not,Kuomana,Bironga Nyauma,"March 9, 2020",lughayangu,https://lughayangu.com/ekegusii/kuomana
Kuomana,#argue,Kuomana,Bironga Nyauma,"March 9, 2020",lughayangu,https://lughayangu.com/ekegusii/kuomana
Maega,before,Maega,Purity,"July 23, 2026",lughayangu,https://lughayangu.com/ekegusii/maega
Magega,#Back,Magega,Bironga Nyauma,"March 9, 2020",lughayangu,https://lughayangu.com/ekegusii/magega
Magega,before,Magega,Bironga Nyauma,"March 9, 2020",lughayangu,https://lughayangu.com/ekegusii/magega
Mambia,morning,Mambia,Purity,"July 23, 2026",lughayangu,https://lughayangu.com/ekegusii/mambia
Mbuya inde,I am fine.,Mbuya inde,Obiri,"July 23, 2019",lughayangu,https://lughayangu.com/ekegusii/mbuya-inde
Mbuya inde,#I am fine,Mbuya inde,Obiri,"July 23, 2019",lughayangu,https://lughayangu.com/ekegusii/mbuya-inde
Mbya more?,Are you OK?,Mbya more?,Anonymous,"March 7, 2024",lughayangu,https://lughayangu.com/ekegusii/mbya-more
Mbya more?,"March 7, 2024",Mbya more?,Anonymous,"March 7, 2024",lughayangu,https://lughayangu.com/ekegusii/mbya-more
Mobasogati,Noon/midday,Mobasogati,James Abere,"April 13, 2026",lughayangu,https://lughayangu.com/ekegusii/mobasogati
Mogambi,Means a leader,Mogambi,Purity,"November 6, 2022",lughayangu,https://lughayangu.com/ekegusii/mogambi
Mogaso gati,noon/midday,Mogaso gati,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/mogaso-gati
Mogotu,means old person,Mogotu,Purity,"November 7, 2022",lughayangu,https://lughayangu.com/ekegusii/mogotu
Monuguno obarema,February,Monuguno obarema,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/monuguno-obarema
Moocha,East,Moocha,Daniel Oyuyo,"May 6, 2024",lughayangu,https://lughayangu.com/ekegusii/moocha
Moocha,By Daniel Oyuyo,Moocha,Daniel Oyuyo,"May 6, 2024",lughayangu,https://lughayangu.com/ekegusii/moocha
Moocha,"May 6, 2024",Moocha,Daniel Oyuyo,"May 6, 2024",lughayangu,https://lughayangu.com/ekegusii/moocha
Mosubati ominto,sister,Mosubati ominto,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/mosubati-ominto
Na boigo,and,Na boigo,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/na-boigo
Nabo igo,also,Nabo igo,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/nabo-igo
Naisire,yet,Naisire,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/naisire
Naki,what,Naki,Anonymous,"July 21, 2022",lughayangu,https://lughayangu.com/ekegusii/naki
Naki,"July 21, 2022",Naki,Anonymous,"July 21, 2022",lughayangu,https://lughayangu.com/ekegusii/naki
Naki,Hello,Naki,Anonymous,"July 21, 2022",lughayangu,https://lughayangu.com/ekegusii/naki
Naki,"January 3, 2025",Naki,Anonymous,"July 21, 2022",lughayangu,https://lughayangu.com/ekegusii/naki
Naki ere,what's up,Naki ere,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/naki-ere
Naki obotuko bwao bware,"September 6, 2025",Naki obotuko bwao bware,Anonymous,"September 6, 2025",lughayangu,https://lughayangu.com/ekegusii/naki-obotuko-bwao-bware
Naki ogeteba,How are you?,Naki ogeteba,Obiri,"July 23, 2019",lughayangu,https://lughayangu.com/ekegusii/naki-ogeteba
Naki ogeteba,#Greeting,Naki ogeteba,Obiri,"July 23, 2019",lughayangu,https://lughayangu.com/ekegusii/naki-ogeteba
Naki okorokwa?,By mark deon2,Naki okorokwa?,mark deon2,"October 13, 2023",lughayangu,https://lughayangu.com/ekegusii/naki-okorokwa
Naki okorokwa?,mark deon2,Naki okorokwa?,mark deon2,"October 13, 2023",lughayangu,https://lughayangu.com/ekegusii/naki-okorokwa
Naki okorokwa?,"October 13, 2023",Naki okorokwa?,mark deon2,"October 13, 2023",lughayangu,https://lughayangu.com/ekegusii/naki-okorokwa
Naki ore,How are you,Naki ore,Ann Waithira,"March 8, 2024",lughayangu,https://lughayangu.com/ekegusii/naki-ore
Naki ore,By Ann Waithira,Naki ore,Ann Waithira,"March 8, 2024",lughayangu,https://lughayangu.com/ekegusii/naki-ore
Naki ore,Ann Waithira,Naki ore,Ann Waithira,"March 8, 2024",lughayangu,https://lughayangu.com/ekegusii/naki-ore
Naki ore,"March 8, 2024",Naki ore,Ann Waithira,"March 8, 2024",lughayangu,https://lughayangu.com/ekegusii/naki-ore
Naki ore,By Ohaga,Naki ore,Ann Waithira,"March 8, 2024",lughayangu,https://lughayangu.com/ekegusii/naki-ore
Naki ore,"November 3, 2025",Naki ore,Ann Waithira,"March 8, 2024",lughayangu,https://lughayangu.com/ekegusii/naki-ore
Nario,so that,Nario,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/nario
Nase ki,why,Nase ki,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/nase-ki
Nigo,for,Nigo,Purity,"July 23, 2026",lughayangu,https://lughayangu.com/ekegusii/nigo
Nimbwate,I have,Nimbwate,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/nimbwate
Nimbwate,I have money,Nimbwate,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/nimbwate
Nimbwate,#i have,Nimbwate,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/nimbwate
Nimbwate,#Money,Nimbwate,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/nimbwate
Nimbwate,I have food,Nimbwate,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/nimbwate
Nimbwate,#Food,Nimbwate,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/nimbwate
Ning'o,who,Ning'o,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/ningo
Nkogwaka,Beat you,Nkogwaka,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/nkogwaka
Nkogwaka,#beat,Nkogwaka,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/nkogwaka
Nkogwaka,#badly,Nkogwaka,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/nkogwaka
Nkororete buya,You look good,Nkororete buya,Anonymous,"April 13, 2023",lughayangu,https://lughayangu.com/ekegusii/nkororete-buya
Nkororete buya,"April 13, 2023",Nkororete buya,Anonymous,"April 13, 2023",lughayangu,https://lughayangu.com/ekegusii/nkororete-buya
Nonya,Although,Nonya,James Abere,"April 13, 2026",lughayangu,https://lughayangu.com/ekegusii/nonya
Nonya nekero,even if,Nonya nekero,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/nonya-nekero
Nyasae,God,Nyasae,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/nyasae
Nyasae,God is good,Nyasae,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/nyasae
Nyasae,#God,Nyasae,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/nyasae
Nyasae,#Good,Nyasae,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/nyasae
Nyasaye n'omuya,God is good,Nyasaye n'omuya,Anonymous,"March 12, 2024",lughayangu,https://lughayangu.com/ekegusii/nyasaye-nomuya
Nyasaye n'omuya,"March 12, 2024",Nyasaye n'omuya,Anonymous,"March 12, 2024",lughayangu,https://lughayangu.com/ekegusii/nyasaye-nomuya
Nyomba inse,floor,Nyomba inse,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/nyomba-inse
Obokima,Cook ugali,Obokima,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/obokima
Obokima,#cook,Obokima,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/obokima
Obongo,brain,Obongo,Purity,"August 30, 2022",lughayangu,https://lughayangu.com/ekegusii/obongo
Obonyansi,grass,Obonyansi,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/obonyansi
Oborito korwa,miscarriage,Oborito korwa,Purity,"October 24, 2022",lughayangu,https://lughayangu.com/ekegusii/oborito-korwa
Oborwaire bw'amabere,brucellosis,Oborwaire bw'amabere,Purity,"October 24, 2022",lughayangu,https://lughayangu.com/ekegusii/oborwaire-bwamabere
Oborwaire bw'amache,typhoid,Oborwaire bw'amache,Purity,"October 24, 2022",lughayangu,https://lughayangu.com/ekegusii/oborwaire-bwamache
Oborwaire bwechinengo,athritis,Oborwaire bwechinengo,Purity,"October 24, 2022",lughayangu,https://lughayangu.com/ekegusii/oborwaire-bwechinengo
Oborwaire bw'echisese,rabies,Oborwaire bw'echisese,Purity,"October 24, 2022",lughayangu,https://lughayangu.com/ekegusii/oborwaire-bwechisese
Oborwaire bw'esukari,diabetes,Oborwaire bw'esukari,Purity,"October 24, 2022",lughayangu,https://lughayangu.com/ekegusii/oborwaire-bwesukari
Oborwaire bw'okorara,sleeping sickness,Oborwaire bw'okorara,Purity,"October 24, 2022",lughayangu,https://lughayangu.com/ekegusii/oborwaire-bwokorara
Obosi,flour,Obosi,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/obosi
Obosio,face,Obosio,Purity,"August 30, 2022",lughayangu,https://lughayangu.com/ekegusii/obosio
Obosomba,Slavery,Obosomba,Jackson Onchwari,"May 10, 2026",lughayangu,https://lughayangu.com/ekegusii/obosomba
Obosomba,By Jackson Onchwari,Obosomba,Jackson Onchwari,"May 10, 2026",lughayangu,https://lughayangu.com/ekegusii/obosomba
Obosomba,Jackson Onchwari,Obosomba,Jackson Onchwari,"May 10, 2026",lughayangu,https://lughayangu.com/ekegusii/obosomba
Obosomba,"May 10, 2026",Obosomba,Jackson Onchwari,"May 10, 2026",lughayangu,https://lughayangu.com/ekegusii/obosomba
Obwanchani,Love,Obwanchani,Calvin omambia,"October 6, 2022",lughayangu,https://lughayangu.com/ekegusii/obwanchani
Obwanchani,By Calvin omambia,Obwanchani,Calvin omambia,"October 6, 2022",lughayangu,https://lughayangu.com/ekegusii/obwanchani
Obwanchani,Calvin omambia,Obwanchani,Calvin omambia,"October 6, 2022",lughayangu,https://lughayangu.com/ekegusii/obwanchani
Obwanchani,"October 6, 2022",Obwanchani,Calvin omambia,"October 6, 2022",lughayangu,https://lughayangu.com/ekegusii/obwanchani
Ochire,#Boy,Ochire,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/ochire
Ogokorora,coughing,Ogokorora,Purity,"October 24, 2022",lughayangu,https://lughayangu.com/ekegusii/ogokorora
Ogoto,ear,Ogoto,Purity,"September 1, 2022",lughayangu,https://lughayangu.com/ekegusii/ogoto
Ogotugama,bow,Ogotugama,Purity,"September 7, 2022",lughayangu,https://lughayangu.com/ekegusii/ogotugama
Oira,Means to take,Oira,Purity,"November 7, 2022",lughayangu,https://lughayangu.com/ekegusii/oira
Okoaregania,Prepare,Okoaregania,Engubo,"February 15, 2024",lughayangu,https://lughayangu.com/ekegusii/okoaregania
Okoaregania,By Engubo,Okoaregania,Engubo,"February 15, 2024",lughayangu,https://lughayangu.com/ekegusii/okoaregania
Okoaregania,"February 15, 2024",Okoaregania,Engubo,"February 15, 2024",lughayangu,https://lughayangu.com/ekegusii/okoaregania
Okoboko,arm,Okoboko,Purity,"September 1, 2022",lughayangu,https://lughayangu.com/ekegusii/okoboko
Okobwekania,Matching or familiarity,Okobwekania,Quenton,"May 23, 2026",lughayangu,https://lughayangu.com/ekegusii/okobwekania
Okobwekania,By Quenton,Okobwekania,Quenton,"May 23, 2026",lughayangu,https://lughayangu.com/ekegusii/okobwekania
Okobwekania,Quenton,Okobwekania,Quenton,"May 23, 2026",lughayangu,https://lughayangu.com/ekegusii/okobwekania
Okobwekania,"May 23, 2026",Okobwekania,Quenton,"May 23, 2026",lughayangu,https://lughayangu.com/ekegusii/okobwekania
Okobwenia,treatment,Okobwenia,Purity,"July 23, 2026",lughayangu,https://lughayangu.com/ekegusii/okobwenia
Okoegia,#Act,Okoegia,Bironga Nyauma,"March 9, 2020",lughayangu,https://lughayangu.com/ekegusii/okoegia
Okoegia,#have,Okoegia,Bironga Nyauma,"March 9, 2020",lughayangu,https://lughayangu.com/ekegusii/okoegia
Okorengwa,diagnosis,Okorengwa,Purity,"October 24, 2022",lughayangu,https://lughayangu.com/ekegusii/okorengwa
Okororekana,symptoms,Okororekana,Purity,"October 24, 2022",lughayangu,https://lughayangu.com/ekegusii/okororekana
Okorwarigwa,treatment,Okorwarigwa,Purity,"July 23, 2026",lughayangu,https://lughayangu.com/ekegusii/okorwarigwa
Omobe,Bad,Omobe,Bironga Nyauma,"March 9, 2020",lughayangu,https://lughayangu.com/ekegusii/omobe
Omobe,#Bad,Omobe,Bironga Nyauma,"March 9, 2020",lughayangu,https://lughayangu.com/ekegusii/omobe
Omobe,#Person,Omobe,Bironga Nyauma,"March 9, 2020",lughayangu,https://lughayangu.com/ekegusii/omobe
Omobere,body,Omobere,Purity,"August 30, 2022",lughayangu,https://lughayangu.com/ekegusii/omobere
Omochere,rice,Omochere,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/omochere
Omogaka,husband,Omogaka,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/omogaka
Omogaka,aloe vera,Omogaka,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/omogaka
Omogaka bw'esiko,elder,Omogaka bw'esiko,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/omogaka-bwesiko
Omogaka bw'esiko,The elder travelled,Omogaka bw'esiko,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/omogaka-bwesiko
Omogakone,My husband,Omogakone,Naom Mokarabu,"March 24, 2024",lughayangu,https://lughayangu.com/ekegusii/omogakone
Omogakone,"March 24, 2024",Omogakone,Naom Mokarabu,"March 24, 2024",lughayangu,https://lughayangu.com/ekegusii/omogakone
Omogambi,A leader,Omogambi,robertny,"July 18, 2019",lughayangu,https://lughayangu.com/ekegusii/omogambi
Omogambi,#Leader,Omogambi,robertny,"July 18, 2019",lughayangu,https://lughayangu.com/ekegusii/omogambi
Omogambi,#Come,Omogambi,robertny,"July 18, 2019",lughayangu,https://lughayangu.com/ekegusii/omogambi
Omogambi,"July 18, 2019",Omogambi,robertny,"July 18, 2019",lughayangu,https://lughayangu.com/ekegusii/omogambi
Omogambi,chief,Omogambi,robertny,"July 18, 2019",lughayangu,https://lughayangu.com/ekegusii/omogambi
Omogango,Cooking stick,Omogango,Anonymous,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/omogango
Omogango,Wooden cooking stick/stuff,Omogango,Anonymous,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/omogango
Omogango,"March 16, 2024",Omogango,Anonymous,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/omogango
Omogate,Bread,Omogate,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/omogate
Omogate,#bread,Omogate,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/omogate
Omogumo,african baobab,Omogumo,Purity,"September 1, 2022",lughayangu,https://lughayangu.com/ekegusii/omogumo
Omoibori,parent,Omoibori,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/omoibori
Omoiseke,Girl,Omoiseke,Zedekiah,"August 24, 2022",lughayangu,https://lughayangu.com/ekegusii/omoiseke
omoisia,"Lad, same peer(boy)",omoisia,robertny,"July 14, 2019",lughayangu,https://lughayangu.com/ekegusii/omoisia
omoisia,#lad,omoisia,robertny,"July 14, 2019",lughayangu,https://lughayangu.com/ekegusii/omoisia
omoisia,#young man,omoisia,robertny,"July 14, 2019",lughayangu,https://lughayangu.com/ekegusii/omoisia
omoisia,"July 14, 2019",omoisia,robertny,"July 14, 2019",lughayangu,https://lughayangu.com/ekegusii/omoisia
Omoiti,Killer,Omoiti,Davis Omari,"May 4, 2023",lughayangu,https://lughayangu.com/ekegusii/omoiti
Omoiti,By Davis Omari,Omoiti,Davis Omari,"May 4, 2023",lughayangu,https://lughayangu.com/ekegusii/omoiti
Omoiti,Davis Omari,Omoiti,Davis Omari,"May 4, 2023",lughayangu,https://lughayangu.com/ekegusii/omoiti
Omoiti,"May 4, 2023",Omoiti,Davis Omari,"May 4, 2023",lughayangu,https://lughayangu.com/ekegusii/omoiti
Omokubio,Sunday,Omokubio,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/omokubio
Omokungu,female,Omokungu,Purity,"July 23, 2026",lughayangu,https://lughayangu.com/ekegusii/omokungu
Omomura,boy,Omomura,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/omomura
Omomura,A boy,Omomura,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/omomura
Omomura,"July 17, 2023",Omomura,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/omomura
Omonto,Person,Omonto,Zedekiah,"September 1, 2022",lughayangu,https://lughayangu.com/ekegusii/omonto
Omonto,#want,Omonto,Zedekiah,"September 1, 2022",lughayangu,https://lughayangu.com/ekegusii/omonto
Omonto,#Person,Omonto,Zedekiah,"September 1, 2022",lughayangu,https://lughayangu.com/ekegusii/omonto
Omonyinga,purple,Omonyinga,Purity,"September 7, 2022",lughayangu,https://lughayangu.com/ekegusii/omonyinga
Omorai,leader,Omorai,Purity,"September 7, 2022",lughayangu,https://lughayangu.com/ekegusii/omorai
